1, NaN, NaN
2, NaN, NaN
3, NaN, NaN
4, NaN, NaN
5, NaN, NaN
6, NaN, NaN
7, NaN, NaN
8, NaN, NaN
9, NaN, NaN
10, NaN, NaN
11, NaN, NaN
12, NaN, NaN
13, NaN, NaN
14, NaN, NaN
15, NaN, NaN
16, NaN, NaN
17, NaN, NaN
18, NaN, NaN
19, NaN, NaN
20, NaN, NaN
21, NaN, NaN
22, NaN, NaN
23, NaN, NaN
24, NaN, NaN
25, NaN, NaN
26, NaN, NaN
27, NaN, NaN
28, NaN, NaN
29, NaN, NaN
30, NaN, NaN
31, NaN, NaN
32, NaN, NaN
33, NaN, NaN
34, 118, 7
35, 118, 8
36, 118.5, 9
37, 119, 10
38, 119, 11
39, 119, 12
40, 119.5, 12.5
41, 119.5, 13.5
42, 120, 15
43, 120, 16
44, 120, 17
45, 120.5, 18
46, 121, 19
47, 121, 20
48, 121, 21
49, 121, 22
50, 122, 22.5
51, 122, 24
52, 122, 25
53, 122.5, 25.5
54, 122.5, 26.5
55, 123, 28
56, 123, 29
57, 123.5, 29.5
58, 123.5, 31
59, 124, 31.5
60, 124, 33
61, 124, 34
62, 124.5, 35
63, 124.5, 35.5
64, 125, 37
65, 125, 38
66, 125.5, 38.5
67, 125.5, 40
68, 126, 41
69, 126, 42
70, 126.5, 42.5
71, 126.5, 43.5
72, 126.5, 44.5
73, 127, 46
74, 127.5, 46.5
75, 127.5, 47.5
76, 127.5, 48.5
77, 128, 50
78, 128, 51
79, 128.5, 51.5
80, 128.5, 52.5
81, 128.5, 53.5
82, 129.5, 54.5
83, 129.5, 55.5
84, 129.5, 56.5
85, 129.5, 57.5
86, 130, 58.5
87, 130.5, 59.5
88, 130.5, 60.5
89, 130.5, 61.5
90, 131, 62
91, 131.5, 63.5
92, 131.5, 64.5
93, 131.5, 65
94, 131.5, 66.5
95, 132, 67
96, 132.5, 68.5
97, 132.5, 69.5
98, 132.5, 70.5
99, 133, 71
100, 133, 72
101, 133.5, 73
102, 133.5, 74.5
103, 134, 75
104, 134, 76.5
105, 134.5, 77
106, 134.5, 78
107, 134.5, 79
108, 135, 80
109, 135, 81
110, 135.5, 82
111, 135.5, 83
112, 136.5, 84.5
113, 136, 85
114, 136.5, 86
115, 136.5, 87.5
116, 137, 88.5
117, 137.5, 89.5
118, 137.5, 90
119, 137.5, 91
120, 138, 92
121, 138, 93
122, 138.5, 94
123, 138.5, 95
124, 138.5, 96.5
125, 139, 97
126, 139.5, 98
127, 139.5, 99
128, 139.5, 100
129, 140, 101
130, 140, 102
131, 140.5, 103
132, 140.5, 104
133, 140.5, 105
134, 141, 105.5
135, 141.5, 107
136, 141.5, 108
137, 141, 109
138, 141, 110
139, 140.5, 111
140, 141, 112
141, 140, 113.5
142, 140, 114
143, 140, 115
144, 139.5, 116
145, 139.5, 117.5
146, 139, 118
147, 139, 119.5
148, 138.5, 120
149, 138, 121
150, 138, 122
151, 137.5, 123.5
152, 137.5, 125
153, 137.5, 125.5
154, 137, 126.5
155, 137, 128
156, 136.5, 129
157, 136, 130
158, 136, 131
159, 135.5, 132
160, 135.5, 133
161, 135, 134
162, 135, 135
163, 134.5, 136
164, 134.5, 137
165, 134, 138
166, 134, 139
167, 133.5, 140
168, 133, 141
169, 133, 142
170, 133, 143.5
171, 132.5, 144
172, 132, 145.5
173, 132, 146.5
174, 132, 148
175, 131, 148
176, 131, 149.5
177, 131, 150.5
178, 130.5, 152
179, 130, 152.5
180, 130, 153.5
181, 129.5, 154
182, 129.5, 155.5
183, 129, 157
184, 129, 158
