0.12589 0.02465 0.00436 0.00158 0.00077 0.00044 0.0000773584
0.12741 0.0301 0.00532 0.00193 0.00094 0.00054 0.0000965173
0.12895 0.03665 0.00648 0.00235 0.00115 0.00066 0.000117612
0.13051 0.04449 0.00787 0.00285 0.00139 0.0008 0.000143819
0.13208 0.05386 0.00952 0.00346 0.00168 0.00096 0.000168782
0.13368 0.06501 0.01149 0.00417 0.00203 0.00116 0.000203945
0.13529 0.07826 0.01383 0.00502 0.00245 0.0014 0.00024614
0.13692 0.09393 0.01661 0.00603 0.00294 0.00168 0.000295368
0.13857 0.11244 0.01988 0.00721 0.00351 0.00201 0.000355738
0.14025 0.13423 0.02373 0.00861 0.00419 0.0024 0.000425091
0.14194 0.15982 0.02825 0.01025 0.00499 0.00286 0.00050754
0.14365 0.18977 0.03355 0.01217 0.00593 0.00339 0.000596792
0.14539 0.22475 0.03973 0.01442 0.00702 0.00402 0.000711476
0.14714 0.26549 0.04693 0.01703 0.0083 0.00475 0.000839032
0.14892 0.31282 0.0553 0.02007 0.00978 0.0056 0.000990829
0.15071 0.36764 0.06499 0.02358 0.01149 0.00658 0.001164697
0.15253 0.431 0.07619 0.02765 0.01347 0.00771 0.001362576
0.15438 0.50403 0.0891 0.03233 0.01575 0.00902 0.00159682
0.15624 0.58801 0.10395 0.03772 0.01838 0.01052 0.001858963
0.15812 0.68432 0.12097 0.0439 0.02138 0.01224 0.002164501
0.16003 0.79451 0.14045 0.05097 0.02483 0.01421 0.002510064
0.16196 0.92027 0.16268 0.05904 0.02876 0.01646 0.002907996
0.16392 1.06347 0.188 0.06822 0.03323 0.01902 0.003361216
0.1659 1.22613 0.21675 0.07866 0.03832 0.02193 0.003873613
0.1679 1.41047 0.24934 0.09048 0.04408 0.02523 0.004458504
0.16993 1.61889 0.28618 0.10385 0.05059 0.02896 0.005119779
0.17198 1.85398 0.32774 0.11893 0.05794 0.03317 0.005865445
0.17405 2.11858 0.37452 0.13591 0.06621 0.0379 0.006699389
0.17615 2.4157 0.42704 0.15497 0.07549 0.04321 0.007636875
0.17828 2.74862 0.48589 0.17632 0.08589 0.04917 0.008694139
0.18043 3.12081 0.55169 0.2002 0.09753 0.05583 0.009869756
0.18261 3.53603 0.62509 0.22684 0.1105 0.06325 0.01117899
0.18481 3.99823 0.70679 0.25649 0.12494 0.07152 0.012643163
0.18704 4.51165 0.79755 0.28942 0.14099 0.08071 0.014269083
0.1893 5.08075 0.89816 0.32593 0.15877 0.09089 0.016069842
0.19159 5.71027 1.00944 0.36631 0.17845 0.10215 0.018057333
0.1939 6.4052 1.13229 0.41089 0.20016 0.11458 0.020256024
0.19624 7.17076 1.26762 0.46 0.22409 0.12827 0.022671522
0.19861 8.01242 1.41641 0.514 0.25039 0.14333 0.025336525
0.201 8.93594 1.57966 0.57324 0.27925 0.15985 0.028256641
0.20343 9.94722 1.75844 0.63811 0.31085 0.17794 0.031455138
0.20589 11.05249 1.95382 0.70902 0.34539 0.19771 0.034948998
0.20837 12.25813 2.16695 0.78636 0.38307 0.21928 0.038762461
0.21089 13.57073 2.39899 0.87056 0.42409 0.24276 0.042912509
0.21343 14.99712 2.65114 0.96207 0.46866 0.26828 0.047427498
0.21601 16.54419 2.92463 1.06131 0.51701 0.29595 0.05231498
0.21861 18.21906 3.22071 1.16875 0.56935 0.32591 0.057610571
0.22125 20.02896 3.54065 1.28486 0.62591 0.35829 0.063336339
0.22392 21.98127 3.88578 1.4101 0.68691 0.39321 0.069510239
0.22663 24.08336 4.25738 1.54495 0.7526 0.43082 0.076162572
0.22936 26.34262 4.65676 1.68988 0.82321 0.47123 0.083300889
0.23213 28.76654 5.08525 1.84537 0.89895 0.51459 0.090968065
0.23493 31.36266 5.54419 2.01192 0.98008 0.56103 0.099176739
0.23777 34.13826 6.03485 2.18997 1.06682 0.61068 0.107952124
0.24064 37.1008 6.55856 2.38002 1.1594 0.66368 0.117323549
0.24354 40.25735 7.11656 2.58251 1.25804 0.72015 0.127308967
0.24648 43.61497 7.71011 2.7979 1.36297 0.78021 0.13792319
0.24946 47.18053 8.34042 3.02663 1.47439 0.84399 0.149197717
